Word,Start Timecode,End Timecode,Speaker
our,00:10:43:03,00:10:43:16,Speaker5
studies,00:10:43:16,00:10:43:45,Speaker5
indicate,00:10:43:45,00:10:44:19,Speaker5
that,00:10:44:19,00:10:44:55,Speaker5
life,00:10:45:09,00:10:45:51,Speaker5
on,00:10:45:51,00:10:46:03,Speaker5
our,00:10:46:03,00:10:46:14,Speaker5
planet,00:10:46:14,00:10:46:41,Speaker5
Earth,00:10:46:41,00:10:47:35,Speaker5
evolved,00:10:47:37,00:10:48:22,Speaker5
independently.,00:10:48:22,00:10:49:27,Speaker5
That,00:10:49:27,00:10:49:39,Speaker3
would,00:10:49:39,00:10:49:55,Speaker3
"tend,",00:10:49:55,00:10:50:19,Speaker3
"however,",00:10:50:19,00:10:50:46,Speaker3
to,00:10:50:46,00:10:50:57,Speaker3
explain,00:10:50:57,00:10:51:25,Speaker3
certain,00:10:51:25,00:10:51:43,Speaker3
elements,00:10:51:43,00:10:52:12,Speaker3
of,00:10:52:12,00:10:52:21,Speaker3
Vulcan,00:10:52:21,00:10:52:46,Speaker3
prehistory.,00:10:52:46,00:10:53:40,Speaker3
In,00:10:53:42,00:10:54:06,Speaker3
either,00:10:54:06,00:10:54:20,Speaker3
"case,",00:10:54:20,00:10:54:42,Speaker3
I,00:10:54:42,00:10:54:51,Speaker3
do,00:10:54:51,00:10:55:00,Speaker3
not,00:10:55:00,00:10:55:12,Speaker3
know.,00:10:55:12,00:10:55:52,Speaker3
It,00:10:55:52,00:10:56:06,Speaker3
was,00:10:56:06,00:10:56:19,Speaker3
so,00:10:56:19,00:10:56:31,Speaker3
long,00:10:56:31,00:10:56:53,Speaker3
ago,00:10:56:53,00:10:57:18,Speaker3
and,00:10:57:18,00:10:57:27,Speaker3
the,00:10:57:27,00:10:57:34,Speaker3
records,00:10:57:34,00:10:58:00,Speaker3
of,00:10:58:00,00:10:58:07,Speaker3
our,00:10:58:07,00:10:58:18,Speaker3
travels,00:10:58:18,00:10:58:46,Speaker3
were,00:10:58:46,00:10:58:59,Speaker3
lost,00:10:58:59,00:10:59:24,Speaker3
in,00:10:59:24,00:10:59:35,Speaker3
the,00:10:59:35,00:10:59:40,Speaker3
"cataclysm,",00:10:59:40,00:11:00:18,Speaker3
which,00:11:00:18,00:11:00:31,Speaker3
we,00:11:00:31,00:11:00:40,Speaker3
loosened,00:11:00:40,00:11:01:05,Speaker3
upon,00:11:01:05,00:11:01:23,Speaker3
ourselves.,00:11:01:23,00:11:02:24,Speaker3
A,00:11:02:42,00:11:02:49,Speaker1
war.,00:11:02:49,00:11:03:25,Speaker1
A,00:11:03:33,00:11:03:47,Speaker3
struggle,00:11:03:47,00:11:04:16,Speaker3
for,00:11:04:16,00:11:04:27,Speaker3
such,00:11:04:27,00:11:04:45,Speaker3
"goals,",00:11:04:45,00:11:05:26,Speaker3
and,00:11:05:26,00:11:05:48,Speaker3
the,00:11:05:48,00:11:05:57,Speaker3
unleashing,00:11:05:57,00:11:06:33,Speaker3
of,00:11:06:33,00:11:06:42,Speaker3
such,00:11:06:42,00:11:07:03,Speaker3
power,00:11:07:03,00:11:07:41,Speaker3
that,00:11:07:41,00:11:07:57,Speaker3
you,00:11:07:57,00:11:08:06,Speaker3
could,00:11:08:06,00:11:08:17,Speaker3
not,00:11:08:17,00:11:08:28,Speaker3
comprehend.,00:11:08:28,00:11:09:34,Speaker3
And,00:11:09:54,00:11:10:03,Speaker1
perhaps,00:11:10:03,00:11:10:21,Speaker1
your,00:11:10:21,00:11:10:32,Speaker1
intelligence,00:11:10:32,00:11:11:15,Speaker1
wasn't,00:11:11:15,00:11:12:07,Speaker1
so,00:11:12:07,00:11:12:33,Speaker1
great.,00:11:12:33,00:11:13:05,Speaker1
Sargon.,00:11:13:05,00:11:13:36,Speaker1
We,00:11:13:59,00:11:14:24,Speaker1
faced,00:11:14:24,00:11:14:40,Speaker1
a,00:11:14:40,00:11:14:44,Speaker1
similar,00:11:14:44,00:11:15:02,Speaker1
crisis,00:11:15:02,00:11:15:38,Speaker1
in,00:11:15:40,00:11:15:58,Speaker1
our,00:11:15:58,00:11:16:19,Speaker1
early,00:11:16:19,00:11:16:48,Speaker1
nuclear,00:11:16:48,00:11:17:26,Speaker1
age.,00:11:17:26,00:11:18:07,Speaker1
We.,00:11:18:09,00:11:19:01,Speaker1
Found,00:11:19:42,00:11:20:16,Speaker1
the,00:11:20:16,00:11:20:34,Speaker1
wisdom,00:11:20:34,00:11:21:16,Speaker1
not,00:11:21:16,00:11:21:34,Speaker1
to,00:11:21:34,00:11:21:39,Speaker1
destroy,00:11:21:39,00:11:21:59,Speaker1
ourselves.,00:11:21:59,00:11:22:30,Speaker1
And,00:11:22:30,00:11:22:53,Speaker3
we,00:11:22:53,00:11:23:11,Speaker3
survived,00:11:23:11,00:11:23:47,Speaker3
our,00:11:23:47,00:11:24:07,Speaker3
primitive,00:11:24:07,00:11:24:34,Speaker3
nuclear,00:11:24:34,00:11:25:06,Speaker3
"era,",00:11:25:06,00:11:25:22,Speaker3
my,00:11:25:22,00:11:25:39,Speaker3
son.,00:11:25:39,00:11:26:16,Speaker3
But,00:11:26:24,00:11:26:56,Speaker3
there,00:11:26:56,00:11:27:07,Speaker3
comes,00:11:27:07,00:11:27:23,Speaker3
to,00:11:27:23,00:11:27:36,Speaker3
all,00:11:27:36,00:11:28:03,Speaker3
races.,00:11:28:03,00:11:29:04,Speaker3
An,00:11:29:04,00:11:29:38,Speaker3
ultimate,00:11:29:38,00:11:30:12,Speaker3
crisis,00:11:30:12,00:11:31:15,Speaker3
which,00:11:31:15,00:11:31:48,Speaker3
you,00:11:31:48,00:11:31:57,Speaker3
have,00:11:31:57,00:11:32:09,Speaker3
yet,00:11:32:09,00:11:32:20,Speaker3
to,00:11:32:20,00:11:32:27,Speaker3
face.,00:11:32:27,00:11:33:16,Speaker3
I,00:11:35:17,00:11:35:42,Speaker1
don't,00:11:35:42,00:11:35:53,Speaker1
understand.,00:11:35:53,00:11:36:40,Speaker1
One,00:11:36:58,00:11:37:34,Speaker3
day,00:11:37:34,00:11:38:01,Speaker3
our,00:11:38:01,00:11:38:21,Speaker3
minds,00:11:38:21,00:11:38:49,Speaker3
became,00:11:38:49,00:11:39:20,Speaker3
so,00:11:39:20,00:11:39:49,Speaker3
powerful.,00:11:39:49,00:11:40:59,Speaker3
We,00:11:41:06,00:11:41:44,Speaker3
dared,00:11:41:44,00:11:42:25,Speaker3
think,00:11:42:25,00:11:42:49,Speaker3
of,00:11:42:49,00:11:42:58,Speaker3
ourselves,00:11:42:58,00:11:43:41,Speaker3
as,00:11:43:41,00:11:43:57,Speaker3
gods.,00:11:43:57,00:11:44:55,Speaker3
You,00:11:48:39,00:11:49:20,Speaker1
said,00:11:49:20,00:11:49:38,Speaker1
you,00:11:49:38,00:11:49:51,Speaker1
wanted,00:11:49:51,00:11:50:09,Speaker1
our,00:11:50:09,00:11:50:18,Speaker1
help.,00:11:50:18,00:11:50:41,Speaker1
What,00:11:51:15,00:11:51:26,Speaker1
is,00:11:51:26,00:11:51:33,Speaker1
it,00:11:51:33,00:11:51:39,Speaker1
you,00:11:51:39,00:11:51:48,Speaker1
wish?,00:11:51:48,00:11:52:15,Speaker1
I,00:12:03:25,00:12:03:30,""
mean,00:12:03:30,00:12:03:43,""
doctor.,00:12:03:43,00:12:04:10,""
I.,00:12:09:26,00:12:10:13,""
Saigon.,00:12:12:22,00:12:13:11,""
My,00:12:16:43,00:12:16:52,Speaker3
captain,00:12:16:52,00:12:17:14,Speaker3
was,00:12:18:37,00:12:18:49,Speaker3
Jim,00:12:18:49,00:12:19:02,Speaker3
Kirk.,00:12:19:02,00:12:19:29,Speaker3
He,00:12:20:48,00:12:21:13,Speaker3
is,00:12:21:13,00:12:21:58,Speaker3
on.,00:12:22:24,00:12:23:03,Speaker3
The.,00:12:23:56,00:12:24:05,Speaker3
I,00:12:24:05,00:12:24:34,Speaker3
have,00:12:25:31,00:12:26:00,Speaker3
taken.,00:12:26:00,00:12:26:54,Speaker3
His,00:12:27:25,00:12:28:19,""
body,00:12:28:19,00:12:29:00,""
to,00:12:29:00,00:12:29:24,""
demonstrate.,00:12:29:24,00:12:30:43,""
This.,00:12:32:09,00:12:32:25,""
Back,00:12:34:30,00:12:34:46,Speaker3
to,00:12:34:46,00:12:34:53,Speaker3
where,00:12:34:53,00:12:35:04,Speaker3
you,00:12:35:04,00:12:35:13,Speaker3
were,00:12:35:13,00:12:35:27,Speaker3
sergun,00:12:35:27,00:12:36:14,Speaker3
or,00:12:36:14,00:12:36:21,Speaker3
whatever,00:12:36:21,00:12:36:41,Speaker3
you,00:12:36:41,00:12:36:50,Speaker3
are.,00:12:36:50,00:12:37:13,Speaker3
And,00:12:37:13,00:12:37:40,Speaker3
if,00:12:37:40,00:12:37:49,Speaker3
he,00:12:37:49,00:12:37:58,Speaker3
"refuses,",00:12:37:58,00:12:38:34,Speaker3
"doctor,",00:12:38:34,00:12:39:05,Speaker3
what,00:12:39:12,00:12:39:39,Speaker3
do,00:12:39:39,00:12:39:46,Speaker3
you,00:12:39:46,00:12:39:52,Speaker3
propose,00:12:39:52,00:12:40:15,Speaker3
to,00:12:40:15,00:12:40:22,Speaker3
do,00:12:40:22,00:12:40:35,Speaker3
with,00:12:40:35,00:12:40:44,Speaker3
your,00:12:40:44,00:12:40:53,Speaker3
phaser?,00:12:40:53,00:12:41:33,Speaker3
That,00:12:42:09,00:12:42:19,Speaker3
is,00:12:42:19,00:12:42:27,Speaker3
still,00:12:42:27,00:12:42:45,Speaker3
Jim's,00:12:42:45,00:12:43:06,Speaker3
body.,00:12:43:06,00:12:43:39,Speaker3
It's,00:12:59:40,00:13:00:00,""
filling,00:13:00:00,00:13:00:32,""
there,00:13:00:32,00:13:00:46,""
again.,00:13:00:46,00:13:01:17,""
To,00:13:04:04,00:13:04:19,Speaker1
see,00:13:04:19,00:13:05:02,Speaker1
again.,00:13:05:02,00:13:05:49,Speaker1
"Pumping,",00:13:10:28,00:13:11:15,Speaker1
arteries,00:13:11:15,00:13:12:06,Speaker1
surging.,00:13:12:06,00:13:12:54,Speaker1
Love,00:13:13:22,00:13:13:55,""
again.,00:13:13:55,00:13:14:24,""
Half,00:13:18:52,00:13:19:07,""
a,00:13:19:07,00:13:19:23,""
million,00:13:19:23,00:13:19:39,""
years.,00:13:19:39,00:13:20:24,""
To,00:13:23:13,00:13:23:51,""
be,00:13:23:51,00:13:24:40,""
again.,00:13:24:40,00:13:25:21,""
Has,00:13:30:40,00:13:30:53,""
an,00:13:30:53,00:13:31:02,""
excellent,00:13:31:02,00:13:31:29,""
"body,",00:13:31:29,00:13:32:00,""
doctor.,00:13:32:00,00:13:32:12,""
I,00:13:34:34,00:13:34:57,""
compliment,00:13:34:57,00:13:35:33,""
you,00:13:35:33,00:13:35:44,""
both.,00:13:35:44,00:13:36:31,""
On,00:13:37:05,00:13:37:23,Speaker1
the,00:13:37:23,00:13:37:30,Speaker1
condition,00:13:37:30,00:13:38:10,Speaker1
in,00:13:38:10,00:13:38:19,Speaker1
which,00:13:38:19,00:13:38:37,Speaker1
you,00:13:38:37,00:13:38:49,Speaker1
maintained,00:13:38:49,00:13:39:34,Speaker1
it.,00:13:39:34,00:13:39:54,Speaker1
Are,00:13:43:06,00:13:43:09,Speaker3
your,00:13:43:09,00:13:43:18,Speaker3
plans,00:13:43:18,00:13:43:42,Speaker3
for,00:13:43:42,00:13:43:58,Speaker3
it?,00:13:43:58,00:13:44:23,Speaker3
You,00:13:45:12,00:13:45:19,Speaker3
exchange,00:13:45:19,00:13:45:46,Speaker3
places,00:13:45:46,00:13:46:09,Speaker3
again,00:13:46:09,00:13:46:27,Speaker3
when,00:13:46:27,00:13:46:38,Speaker3
you,00:13:46:38,00:13:46:45,Speaker3
wish.,00:13:46:45,00:13:47:10,Speaker3
Have,00:13:48:58,00:13:49:11,Speaker1
no,00:13:49:11,00:13:49:22,Speaker1
fear.,00:13:49:22,00:13:49:49,Speaker1
Your,00:13:50:41,00:13:51:01,Speaker1
captain,00:13:51:01,00:13:51:31,Speaker1
is,00:13:51:31,00:13:51:46,Speaker1
quite,00:13:51:46,00:13:52:04,Speaker1
"unharmed,",00:13:52:04,00:13:52:58,Speaker1
although,00:13:53:03,00:13:53:32,Speaker1
his,00:13:53:32,00:13:53:43,Speaker1
mind.,00:13:53:43,00:13:54:08,Speaker1
Generates,00:13:54:08,00:13:54:48,Speaker3
insufficient.,00:13:54:48,00:13:55:40,Speaker3
Energy,00:13:55:40,00:13:56:36,Speaker1
for,00:13:56:50,00:13:57:06,Speaker1
him,00:13:57:06,00:13:57:19,Speaker1
to,00:13:57:19,00:13:57:28,Speaker1
speak,00:13:57:28,00:13:57:49,Speaker1
from,00:13:57:49,00:13:58:06,Speaker1
"there,",00:13:58:06,00:13:58:40,Speaker1
as,00:13:59:14,00:13:59:30,Speaker1
I,00:13:59:30,00:13:59:43,Speaker1
do.,00:13:59:43,00:14:00:12,Speaker1
Doctor?,00:14:00:28,00:14:01:02,Speaker1
Yes?,00:14:01:49,00:14:02:10,Speaker5
I,00:14:02:10,00:14:02:18,Speaker5
have,00:14:02:18,00:14:02:27,Speaker5
the,00:14:02:27,00:14:02:32,Speaker5
same,00:14:02:32,00:14:02:50,Speaker5
readings.,00:14:02:50,00:14:03:31,Speaker5
You're,00:14:03:53,00:14:04:09,Speaker3
aware,00:14:04:09,00:14:04:25,Speaker3
of,00:14:04:25,00:14:04:29,Speaker3
what's,00:14:04:29,00:14:04:40,Speaker3
happening,00:14:04:40,00:14:04:58,Speaker3
to,00:14:05:00,00:14:05:07,Speaker3
his,00:14:05:07,00:14:05:16,Speaker3
body?,00:14:05:16,00:14:06:03,Speaker3
Heart,00:14:06:10,00:14:06:28,Speaker3
action.,00:14:06:28,00:14:06:48,Speaker3
Double,00:14:06:48,00:14:07:11,Speaker3
"temperature,",00:14:07:11,00:14:07:36,Speaker3
104,00:14:07:36,00:14:08:18,Speaker3
degrees.,00:14:08:18,00:14:08:54,Speaker3
He'll,00:14:08:54,00:14:09:08,Speaker5
die,00:14:09:08,00:14:09:40,Speaker5
if,00:14:09:40,00:14:09:49,Speaker5
you,00:14:09:49,00:14:09:55,Speaker5
don't,00:14:09:55,00:14:10:11,Speaker5
leave,00:14:10:11,00:14:10:27,Speaker5
his,00:14:10:27,00:14:10:38,Speaker5
body,00:14:10:38,00:14:11:10,Speaker5
soon.,00:14:11:10,00:14:11:54,Speaker5
What,00:14:11:54,00:14:12:06,Speaker3
is,00:14:12:06,00:14:12:13,Speaker3
it,00:14:12:13,00:14:12:21,Speaker3
you,00:14:12:21,00:14:12:30,Speaker3
want,00:14:12:30,00:14:12:42,Speaker3
of,00:14:12:42,00:14:12:49,Speaker3
us?,00:14:12:49,00:14:13:18,Speaker3
In,00:14:15:55,00:14:16:15,Speaker3
the,00:14:16:15,00:14:16:21,Speaker3
next,00:14:16:21,00:14:16:39,Speaker3
room.,00:14:16:39,00:14:17:24,Speaker3
There,00:14:17:58,00:14:18:27,Speaker1
are,00:14:18:27,00:14:18:39,Speaker1
other,00:14:18:39,00:14:18:55,Speaker1
receptacles.,00:14:18:55,00:14:20:07,Speaker1
The,00:14:21:11,00:14:21:33,Speaker1
other,00:14:21:33,00:14:21:49,Speaker1
two,00:14:21:49,00:14:22:00,Speaker1
of,00:14:22:00,00:14:22:05,Speaker1
us,00:14:22:05,00:14:22:50,Speaker1
that,00:14:23:08,00:14:23:28,Speaker1
survived,00:14:23:28,00:14:24:18,Speaker1
"you,",00:14:25:23,00:14:26:06,Speaker1
doctor,00:14:26:06,00:14:26:31,Speaker1
Ann,00:14:26:31,00:14:26:42,Speaker1
Mulhall.,00:14:26:42,00:14:27:18,Speaker1
And,00:14:27:18,00:14:27:38,Speaker1
"you,",00:14:27:38,00:14:28:00,Speaker1
Mr.,00:14:28:00,00:14:28:25,Speaker1
Spock.,00:14:28:25,00:14:29:10,Speaker1
We,00:14:30:13,00:14:30:42,Speaker1
require,00:14:30:42,00:14:31:14,Speaker1
your,00:14:31:14,00:14:31:27,Speaker1
bodies,00:14:31:27,00:14:31:55,Speaker1
also.,00:14:31:55,00:14:32:58,Speaker1
We,00:14:34:10,00:14:34:39,Speaker1
must,00:14:34:39,00:14:35:03,Speaker1
have,00:14:35:03,00:14:35:26,Speaker1
Captain,00:14:35:26,00:14:35:57,Speaker1
Kirk.,00:14:35:57,00:14:36:34,Speaker1
And,00:14:38:27,00:14:38:43,Speaker3
you.,00:14:38:43,00:14:39:17,Speaker3
So,00:14:43:06,00:14:43:33,Speaker1
that,00:14:43:33,00:14:43:45,Speaker1
we,00:14:43:45,00:14:44:00,Speaker1
may,00:14:44:00,00:14:44:16,Speaker1
live,00:14:44:16,00:14:44:50,Speaker1
again.,00:14:44:50,00:14:45:33,Speaker1
Even,00:15:00:37,00:15:00:57,Speaker1
for,00:15:00:57,00:15:01:08,Speaker1
"us,",00:15:01:08,00:15:01:19,Speaker1
a,00:15:01:19,00:15:01:24,Speaker1
half,00:15:01:24,00:15:01:38,Speaker1
a.,00:15:01:38,00:15:01:52,Speaker1
Million,00:15:01:52,00:15:02:06,""
years,00:15:02:06,00:15:02:43,""
was,00:15:02:43,00:15:03:00,""
almost,00:15:03:00,00:15:03:27,""
too,00:15:03:27,00:15:03:37,""
long,00:15:03:37,00:15:03:52,""
to,00:15:03:54,00:15:04:01,""
wait.,00:15:04:01,00:15:04:21,""
Still,00:15:07:29,00:15:08:10,Speaker1
survive,00:15:08:10,00:15:08:50,Speaker1
enough.,00:15:08:50,00:15:09:12,Speaker1
Inflation.,00:15:13:29,00:15:14:19,""
"So,",00:15:17:48,00:15:17:59,""
Lisa.,00:15:17:59,00:15:18:21,""
Smith.,00:15:18:21,00:15:18:48,""
Lisa.,00:15:18:48,00:15:19:13,""
I,00:15:21:02,00:15:21:15,""
am.,00:15:21:15,00:15:21:25,""
Pleased,00:15:21:25,00:15:22:00,Speaker1
you,00:15:22:00,00:15:22:12,Speaker1
survived.,00:15:22:12,00:15:22:46,Speaker1
With.,00:15:22:46,00:15:22:52,""
Look,00:15:27:37,00:15:27:49,""
at,00:15:27:49,00:15:27:55,""
me.,00:15:27:55,00:15:28:13,""
It,00:15:29:25,00:15:29:36,Speaker1
has,00:15:29:36,00:15:29:48,Speaker1
been,00:15:29:48,00:15:30:04,Speaker1
so,00:15:30:04,00:15:30:19,Speaker1
very,00:15:30:19,00:15:30:37,Speaker1
long.,00:15:30:37,00:15:31:06,Speaker1
When,00:15:31:54,00:15:32:14,Speaker3
the,00:15:32:14,00:15:32:19,Speaker3
struggle,00:15:32:19,00:15:32:43,Speaker3
came,00:15:32:43,00:15:33:04,Speaker3
which,00:15:33:04,00:15:33:19,Speaker3
devastated,00:15:33:19,00:15:33:55,Speaker3
your,00:15:33:57,00:15:34:07,Speaker3
planet.,00:15:34:07,00:15:34:51,Speaker3
Only,00:15:35:14,00:15:35:32,Speaker1
the,00:15:35:32,00:15:35:39,Speaker1
best,00:15:35:39,00:15:35:57,Speaker1
minds,00:15:35:57,00:15:36:19,Speaker1
were,00:15:36:19,00:15:36:28,Speaker1
chosen,00:15:36:28,00:15:36:49,Speaker1
to,00:15:36:49,00:15:36:57,Speaker1
survive.,00:15:36:57,00:15:37:40,Speaker1
"Felisa,",00:15:38:23,00:15:38:59,Speaker1
my,00:15:39:04,00:15:39:35,Speaker1
"wife,",00:15:39:35,00:15:40:09,Speaker1
as,00:15:40:09,00:15:40:24,Speaker1
you,00:15:40:24,00:15:40:33,Speaker1
may,00:15:40:33,00:15:40:43,Speaker1
have,00:15:40:43,00:15:40:54,Speaker1
"guessed,",00:15:40:54,00:15:41:39,Speaker1
had,00:15:41:39,00:15:41:50,Speaker1
not,00:15:41:50,00:15:42:06,Speaker1
from,00:15:42:49,00:15:43:07,Speaker1
the,00:15:43:07,00:15:43:15,Speaker1
other,00:15:43:15,00:15:43:27,Speaker1
side.,00:15:43:27,00:15:44:07,Speaker1
Realizing,00:15:44:18,00:15:45:13,Speaker1
our,00:15:45:13,00:15:45:30,Speaker1
"mistake,",00:15:45:30,00:15:46:00,Speaker1
we,00:15:46:00,00:15:46:09,Speaker1
attempted,00:15:46:09,00:15:46:36,Speaker1
to,00:15:46:36,00:15:47:07,Speaker1
perpetuate,00:15:47:07,00:15:47:57,Speaker1
both,00:15:47:57,00:15:48:15,Speaker1
sides.,00:15:48:15,00:15:48:46,Speaker1
We,00:15:48:46,00:15:49:09,Speaker1
built,00:15:49:09,00:15:49:31,Speaker1
this,00:15:49:31,00:15:49:54,Speaker1
chamber,00:15:49:54,00:15:50:23,Speaker1
here,00:15:50:23,00:15:50:57,Speaker1
in,00:15:50:57,00:15:51:22,Speaker1
order,00:15:51:22,00:15:51:40,Speaker1
to,00:15:51:40,00:15:51:51,Speaker1
preserve,00:15:51:51,00:15:52:43,Speaker1
our,00:15:52:43,00:15:53:18,Speaker1
essence,00:15:53:18,00:15:54:03,Speaker1
in,00:15:54:03,00:15:54:19,Speaker1
this,00:15:54:19,00:15:54:30,Speaker1
fashion.,00:15:54:30,00:15:55:07,Speaker1
Fascinating.,00:15:55:34,00:15:56:23,Speaker3
We,00:15:57:37,00:15:58:10,Speaker1
knew,00:15:58:10,00:15:58:57,Speaker1
the,00:15:59:18,00:15:59:43,Speaker1
seed,00:15:59:43,00:16:00:05,Speaker1
that,00:16:00:05,00:16:00:16,Speaker1
we,00:16:00:16,00:16:00:23,Speaker1
had,00:16:00:23,00:16:00:36,Speaker1
planted,00:16:00:36,00:16:01:15,Speaker1
on,00:16:01:15,00:16:01:37,Speaker1
other,00:16:01:37,00:16:01:49,Speaker1
planets,00:16:01:49,00:16:02:13,Speaker1
would,00:16:02:13,00:16:02:24,Speaker1
take,00:16:02:24,00:16:02:40,Speaker1
"root,",00:16:02:40,00:16:03:16,Speaker1
that,00:16:03:34,00:16:03:43,Speaker1
one,00:16:03:43,00:16:03:55,Speaker1
day,00:16:03:55,00:16:04:04,Speaker1
you,00:16:04:04,00:16:04:10,Speaker1
would,00:16:04:10,00:16:04:21,Speaker1
build,00:16:04:21,00:16:04:37,Speaker1
vessels,00:16:04:37,00:16:05:27,Speaker1
as,00:16:05:27,00:16:05:43,Speaker1
we,00:16:05:43,00:16:05:54,Speaker1
did.,00:16:05:54,00:16:06:14,Speaker1
And,00:16:06:39,00:16:07:03,Speaker1
one,00:16:07:03,00:16:07:15,Speaker1
day,00:16:07:15,00:16:07:24,Speaker1
you,00:16:07:24,00:16:07:31,Speaker1
would,00:16:07:31,00:16:07:40,Speaker1
come,00:16:07:40,00:16:07:57,Speaker1
here.,00:16:07:57,00:16:08:34,Speaker1
These,00:16:08:52,00:16:09:18,Speaker3
"others,",00:16:09:18,00:16:09:57,Speaker3
they,00:16:09:57,00:16:10:21,Speaker3
were,00:16:10:21,00:16:10:30,Speaker3
stored,00:16:10:30,00:16:10:58,Speaker3
differently,00:16:10:58,00:16:11:31,Speaker3
than,00:16:11:31,00:16:11:42,Speaker3
you.,00:16:11:42,00:16:12:16,Speaker3
But,00:16:12:25,00:16:12:50,Speaker3
it,00:16:12:50,00:16:12:54,Speaker3
was,00:16:12:54,00:16:13:04,Speaker3
your,00:16:13:04,00:16:13:17,Speaker3
task,00:16:13:17,00:16:13:37,Speaker3
to,00:16:13:37,00:16:13:44,Speaker3
remain,00:16:13:44,00:16:14:16,Speaker3
in,00:16:14:16,00:16:14:25,Speaker3
the,00:16:14:25,00:16:14:31,Speaker3
receptacle,00:16:14:31,00:16:15:03,Speaker3
out,00:16:15:03,00:16:15:14,Speaker3
there,00:16:15:14,00:16:15:41,Speaker3
and.,00:16:15:41,00:16:16:04,Speaker3
Search,00:16:16:04,00:16:16:35,Speaker1
the,00:16:16:35,00:16:16:46,Speaker1
heavens.,00:16:16:46,00:16:17:11,Speaker1
With,00:16:17:11,00:16:17:25,Speaker1
my,00:16:17:25,00:16:17:38,Speaker1
mind,00:16:17:38,00:16:18:25,Speaker1
"probing,",00:16:18:54,00:16:19:55,Speaker1
"waiting,",00:16:19:55,00:16:20:33,Speaker1
probing.,00:16:20:33,00:16:21:37,Speaker1
And,00:16:21:50,00:16:22:06,Speaker1
then,00:16:22:06,00:16:22:17,Speaker1
one,00:16:22:17,00:16:22:30,Speaker1
"day,",00:16:22:30,00:16:22:51,Speaker1
my,00:16:22:51,00:16:23:04,Speaker1
mind,00:16:23:04,00:16:23:31,Speaker1
touched,00:16:23:33,00:16:23:58,Speaker1
your,00:16:23:58,00:16:24:09,Speaker1
vessel.,00:16:24:09,00:16:24:46,Speaker1
And,00:16:25:41,00:16:26:04,Speaker1
brought,00:16:26:04,00:16:26:17,Speaker1
you,00:16:26:17,00:16:26:26,Speaker1
here.,00:16:26:26,00:16:27:00,Speaker1
So,00:16:27:00,00:16:27:29,Speaker5
you,00:16:27:29,00:16:27:36,Speaker5
could,00:16:27:36,00:16:27:51,Speaker5
steal,00:16:27:51,00:16:28:10,Speaker5
our,00:16:28:10,00:16:28:21,Speaker5
bodies,00:16:28:21,00:16:28:45,Speaker5
from,00:16:28:45,00:16:29:01,Speaker5
us.,00:16:29:01,00:16:29:31,Speaker5
To,00:16:29:58,00:16:30:09,Speaker1
steal.,00:16:30:09,00:16:30:49,Speaker1
To,00:16:31:18,00:16:31:45,Speaker1
take,00:16:31:45,00:16:32:03,Speaker1
them,00:16:32:03,00:16:32:12,Speaker1
from,00:16:32:12,00:16:32:28,Speaker1
you.,00:16:32:28,00:16:32:37,Speaker1
"No,",00:16:32:39,00:16:33:06,Speaker1
"no,",00:16:33:06,00:16:33:25,Speaker1
my,00:16:33:25,00:16:33:36,Speaker1
"children,",00:16:33:36,00:16:33:58,Speaker1
you,00:16:33:58,00:16:34:07,Speaker1
misunderstand.,00:16:34:07,00:16:35:10,Speaker1
We,00:16:36:56,00:16:37:21,Speaker1
mean,00:16:37:21,00:16:37:55,Speaker1
only,00:16:37:55,00:16:38:31,Speaker1
that,00:16:38:31,00:16:38:42,Speaker1
you,00:16:38:42,00:16:38:51,Speaker1
should,00:16:38:51,00:16:39:07,Speaker1
lend,00:16:39:07,00:16:39:27,Speaker1
us,00:16:39:27,00:16:39:40,Speaker1
your,00:16:39:40,00:16:39:52,Speaker1
bodies,00:16:39:52,00:16:40:14,Speaker1
for,00:16:40:14,00:16:40:25,Speaker1
a,00:16:40:25,00:16:40:30,Speaker1
short,00:16:40:30,00:16:40:46,Speaker1
time.,00:16:40:46,00:16:41:22,Speaker1
And,00:16:41:22,00:16:41:31,Speaker3
destroy,00:16:41:31,00:16:42:00,Speaker3
"them,",00:16:42:00,00:16:42:29,Speaker3
just,00:16:42:29,00:16:42:58,Speaker3
as,00:16:42:58,00:16:43:05,Speaker3
you're,00:16:43:05,00:16:43:12,Speaker3
burning,00:16:43:12,00:16:43:28,Speaker3
that,00:16:43:28,00:16:43:39,Speaker3
one,00:16:43:39,00:16:43:48,Speaker3
up,00:16:43:48,00:16:43:57,Speaker3
now.,00:16:43:57,00:16:44:37,Speaker3
Heartbeat,00:16:44:58,00:16:45:24,Speaker3
262.,00:16:45:24,00:16:46:28,Speaker3
Spock.,00:16:46:28,00:16:46:50,Speaker3
Entire,00:16:46:50,00:16:47:10,Speaker3
metabolic,00:16:47:10,00:16:47:39,Speaker3
rate,00:16:47:39,00:16:47:58,Speaker3
correspondingly,00:16:47:58,00:16:48:52,Speaker3
high.,00:16:48:52,00:16:49:28,Speaker3
I,00:16:50:37,00:16:51:03,Speaker1
will,00:16:51:03,00:16:51:15,Speaker1
return,00:16:51:15,00:16:51:44,Speaker1
your,00:16:51:44,00:16:51:55,Speaker1
captain,00:16:51:55,00:16:52:22,Speaker1
